time,X,Y,Z,
0.9675, 0.0550202, -0.000193071, -0.761604,
0.97, 0.05502, -0.000193486, -0.761604,
0.9725, 0.0550198, -0.000193896, -0.761604,
0.975, 0.0550195, -0.000194302, -0.761604,
0.9775, 0.0550193, -0.000194703, -0.761605,
0.98, 0.0550191, -0.000195101, -0.761605,
0.9825, 0.0550189, -0.000195494, -0.761605,
0.985, 0.0550187, -0.000195883, -0.761605,
0.9875, 0.0550185, -0.000196269, -0.761605,
0.99, 0.0550182, -0.000196651, -0.761605,
0.9925, 0.055018, -0.000197029, -0.761605,
0.995, 0.0550178, -0.000197403, -0.761605,
0.9975, 0.0550176, -0.000197773, -0.761605,
1, 0.0550174, -0.00019814, -0.761605,
1.0025, 0.0550172, -0.000198503, -0.761605,
1.005, 0.055017, -0.000198863, -0.761605,
1.0075, 0.0550168, -0.000199219, -0.761605,
1.01, 0.0550165, -0.000199571, -0.761605,
1.0125, 0.0550163, -0.000199921, -0.761605,
1.015, 0.0550161, -0.000200267, -0.761605,
1.0175, 0.0550159, -0.000200609, -0.761605,
1.02, 0.0550157, -0.000200949, -0.761605,
1.0225, 0.0550155, -0.000201285, -0.761605,
1.025, 0.0550153, -0.000201618, -0.761605,
1.0275, 0.055015, -0.000201948, -0.761605,
1.03, 0.0550148, -0.000202275, -0.761605,
1.0325, 0.0550146, -0.000202599, -0.761606,
1.035, 0.0550144, -0.000202921, -0.761606,
1.0375, 0.0550142, -0.000203239, -0.761606,
1.04, 0.055014, -0.000203555, -0.761606,
1.0425, 0.0550138, -0.000203868, -0.761606,
1.045, 0.0550135, -0.000204178, -0.761606,
1.0475, 0.0550133, -0.000204486, -0.761606,
1.05, 0.0550131, -0.000204791, -0.761606,
1.0525, 0.0550129, -0.000205094, -0.761606,
1.055, 0.0550127, -0.000205394, -0.761606,
1.0575, 0.0550124, -0.000205691, -0.761606,
1.06, 0.0550122, -0.000205987, -0.761606,
1.0625, 0.055012, -0.000206279, -0.761606,
1.065, 0.0550118, -0.00020657, -0.761606,
1.0675, 0.0550116, -0.000206858, -0.761606,
1.07, 0.0550114, -0.000207144, -0.761606,
1.0725, 0.0550111, -0.000207427, -0.761606,
1.075, 0.0550109, -0.000207709, -0.761606,
1.0775, 0.0550107, -0.000207988, -0.761606,
1.08, 0.0550105, -0.000208265, -0.761606,
1.0825, 0.0550103, -0.00020854, -0.761607,
1.085, 0.05501, -0.000208813, -0.761607,
1.0875, 0.0550098, -0.000209084, -0.761607,
1.09, 0.0550096, -0.000209352, -0.761607,
1.0925, 0.0550094, -0.000209619, -0.761607,
1.095, 0.0550091, -0.000209883, -0.761607,
1.0975, 0.0550089, -0.000210146, -0.761607,
1.1, 0.0550087, -0.000210407, -0.761607,
1.1025, 0.0550085, -0.000210665, -0.761607,
1.105, 0.0550083, -0.000210922, -0.761607,
1.1075, 0.055008, -0.000211177, -0.761607,
1.11, 0.0550078, -0.00021143, -0.761607,
1.1125, 0.0550076, -0.000211681, -0.761607,
1.115, 0.0550074, -0.00021193, -0.761607,
1.1175, 0.0550071, -0.000212178, -0.761607,
1.12, 0.0550069, -0.000212423, -0.761607,
1.1225, 0.0550067, -0.000212667, -0.761607,
1.125, 0.0550065, -0.000212909, -0.761607,
1.1275, 0.0550062, -0.00021315, -0.761607,
1.13, 0.055006, -0.000213388, -0.761607,
1.1325, 0.0550058, -0.000213625, -0.761608,
1.135, 0.0550056, -0.00021386, -0.761608,
1.1375, 0.0550053, -0.000214094, -0.761608,
1.14, 0.0550051, -0.000214326, -0.761608,
1.1425, 0.0550049, -0.000214556, -0.761608,
1.145, 0.0550047, -0.000214784, -0.761608,
1.1475, 0.0550044, -0.000215011, -0.761608,
1.15, 0.0550042, -0.000215236, -0.761608,
1.1525, 0.055004, -0.00021546, -0.761608,
1.155, 0.0550038, -0.000215682, -0.761608,
1.1575, 0.0550035, -0.000215903, -0.761608,
1.16, 0.0550033, -0.000216122, -0.761608,
1.1625, 0.0550031, -0.000216339, -0.761608,
1.165, 0.0550028, -0.000216555, -0.761608,
1.1675, 0.0550026, -0.000216769, -0.761608,
1.17, 0.0550024, -0.000216982, -0.761608,
1.1725, 0.0550022, -0.000217194, -0.761608,
1.175, 0.0550019, -0.000217404, -0.761608,
1.1775, 0.0550017, -0.000217612, -0.761608,
1.18, 0.0550015, -0.000217819, -0.761609,
1.1825, 0.0550012, -0.000218025, -0.761609,
1.185, 0.055001, -0.000218229, -0.761609,
1.1875, 0.0550008, -0.000218431, -0.761609,
1.19, 0.0550006, -0.000218633, -0.761609,
1.1925, 0.0550003, -0.000218832, -0.761609,
1.195, 0.0550001, -0.000219031, -0.761609,
1.1975, 0.0549999, -0.000219228, -0.761609,
1.2, 0.0549996, -0.000219424, -0.761609,
1.2025, 0.0549994, -0.000219618, -0.761609,
1.205, 0.0549992, -0.000219811, -0.761609,
1.2075, 0.0549989, -0.000220003, -0.761609,
1.21, 0.0549987, -0.000220193, -0.761609,
1.2125, 0.0549985, -0.000220382, -0.761609,
1.215, 0.0549983, -0.00022057, -0.761609,
1.2175, 0.054998, -0.000220757, -0.761609,
1.22, 0.0549978, -0.000220942, -0.761609,
1.2225, 0.0549976, -0.000221126, -0.761609,
1.225, 0.0549973, -0.000221308, -0.76161,
1.2275, 0.0549971, -0.00022149, -0.76161,
1.23, 0.0549969, -0.00022167, -0.76161,
