t,tau1,tau2,ddq1,ddq2,q1,q2,X,Y,
0.26625,41.9957,1.8077,40.2807,24.22,-0.136305,-2.31352,0.773788,0.220604,
0.2675,42.476,1.67231,40.691,23.2849,-0.142733,-2.31228,0.77615,0.216412,
0.26875,42.9426,1.54359,41.0808,22.3659,-0.149097,-2.311,0.778504,0.212272,
0.27,43.3958,1.42134,41.4504,21.4629,-0.155398,-2.30969,0.780849,0.208183,
0.27125,43.8358,1.30542,41.8003,20.5759,-0.161633,-2.30834,0.783186,0.204147,
0.2725,44.2625,1.19564,42.1311,19.7048,-0.167803,-2.30696,0.785514,0.200162,
0.27375,44.6763,1.09186,42.4432,18.8495,-0.173908,-2.30556,0.787832,0.196228,
0.275,45.0773,0.993884,42.737,18.0099,-0.179946,-2.30412,0.790141,0.192346,
0.27625,45.4655,0.901571,43.013,17.1859,-0.185917,-2.30265,0.792441,0.188514,
0.2775,45.8412,0.814737,43.2716,16.3775,-0.191821,-2.30116,0.79473,0.184733,
0.27875,46.2045,0.733239,43.5132,15.5845,-0.197657,-2.29964,0.79701,0.181003,
0.28,46.5555,0.656896,43.7383,14.8069,-0.203426,-2.2981,0.799279,0.177323,
0.28125,46.8944,0.585567,43.9473,14.0444,-0.209126,-2.29653,0.801537,0.173694,
0.2825,47.2213,0.519076,44.1405,13.2971,-0.214757,-2.29494,0.803785,0.170114,
0.28375,47.5364,0.457283,44.3184,12.5648,-0.22032,-2.29333,0.806021,0.166584,
0.285,47.8397,0.400018,44.4814,11.8475,-0.225813,-2.29171,0.808246,0.163105,
0.28625,48.1315,0.347144,44.6299,11.1448,-0.231237,-2.29006,0.81046,0.159675,
0.2875,48.4118,0.298495,44.7641,10.4569,-0.236591,-2.2884,0.812661,0.156295,
0.28875,48.6808,0.253938,44.8846,9.78344,-0.241875,-2.28671,0.814851,0.152964,
0.29,48.9385,0.213312,44.9915,9.12443,-0.247089,-2.28502,0.817029,0.149683,
0.29125,49.1852,0.176487,45.0854,8.47968,-0.252232,-2.28331,0.819195,0.146452,
0.2925,49.421,0.143308,45.1665,7.84911,-0.257305,-2.28159,0.821348,0.14327,
0.29375,49.6459,0.11365,45.2351,7.23253,-0.262308,-2.27985,0.823488,0.140137,
0.295,49.8601,0.0873633,45.2917,6.62987,-0.26724,-2.2781,0.825615,0.137054,
0.29625,50.0637,0.064326,45.3364,6.04094,-0.272101,-2.27635,0.82773,0.13402,
0.2975,50.2569,0.0443943,45.3696,5.46564,-0.276891,-2.27458,0.829831,0.131035,
0.29875,50.4396,0.0274515,45.3917,4.90382,-0.281611,-2.2728,0.831919,0.128099,
0.3,50.6121,0.0133594,45.4028,4.35535,-0.286259,-2.27102,0.833994,0.125213,
0.30125,50.7745,0.00200584,45.4033,3.82007,-0.290837,-2.26923,0.836055,0.122376,
0.3025,50.9269,-0.0067415,45.3935,3.29787,-0.295344,-2.26744,0.838102,0.119588,
0.30375,51.0693,-0.01299,45.3737,2.78857,-0.299779,-2.26563,0.840135,0.116849,
0.305,51.2019,-0.0168661,45.344,2.29207,-0.304144,-2.26383,0.842154,0.114159,
0.30625,51.3248,-0.0184725,45.3048,1.80819,-0.308438,-2.26202,0.844159,0.111519,
0.3075,51.4381,-0.0179296,45.2564,1.33682,-0.312661,-2.26021,0.84615,0.108927,
0.30875,51.5419,-0.0153352,45.1989,0.877789,-0.316814,-2.25839,0.848126,0.106384,
0.31,51.6363,-0.010804,45.1326,0.430971,-0.320895,-2.25658,0.850088,0.103891,
0.31125,51.7214,-0.00442888,45.0578,-0.00380398,-0.324907,-2.25476,0.852036,0.101446,
0.3125,51.7974,0.00368145,44.9746,-0.426653,-0.328848,-2.25295,0.853968,0.0990502,
0.31375,51.8643,0.0134389,44.8834,-0.837751,-0.332718,-2.25113,0.855886,0.0967035,
0.315,51.9222,0.0247405,44.7842,-1.23722,-0.336519,-2.24932,0.857789,0.0944055,
0.31625,51.9712,0.037503,44.6774,-1.62523,-0.340249,-2.24751,0.859677,0.0921565,
0.3175,52.0114,0.0516292,44.5632,-2.0019,-0.34391,-2.2457,0.86155,0.0899562,
0.31875,52.043,0.0670406,44.4416,-2.36741,-0.347501,-2.24389,0.863408,0.0878048,
0.32,52.066,0.0836456,44.3131,-2.72188,-0.351023,-2.24209,0.865251,0.0857021,
0.32125,52.0806,0.10137,44.1776,-3.06548,-0.354475,-2.24029,0.867079,0.0836481,
0.3225,52.0868,0.120129,44.0355,-3.39834,-0.357859,-2.2385,0.868891,0.0816427,
0.32375,52.0847,0.139852,43.8869,-3.72062,-0.361173,-2.23671,0.870688,0.079686,
0.325,52.0744,0.16046,43.732,-4.03246,-0.364419,-2.23493,0.87247,0.0777778,
0.32625,52.0561,0.181886,43.5709,-4.33402,-0.367597,-2.23315,0.874236,0.0759181,
0.3275,52.0299,0.204057,43.4039,-4.62543,-0.370707,-2.23138,0.875986,0.0741068,
0.32875,51.9957,0.226911,43.2311,-4.90686,-0.373748,-2.22962,0.877721,0.0723439,
0.33,51.9539,0.250379,43.0527,-5.17844,-0.376723,-2.22787,0.879441,0.0706292,
0.33125,51.9043,0.274405,42.8687,-5.44032,-0.37963,-2.22612,0.881145,0.0689627,
0.3325,51.8472,0.298924,42.6795,-5.69265,-0.38247,-2.22438,0.882833,0.0673443,
0.33375,51.7827,0.323883,42.4852,-5.93559,-0.385243,-2.22265,0.884506,0.065774,
0.335,51.7108,0.349223,42.2858,-6.16926,-0.38795,-2.22093,0.886163,0.0642516,
0.33625,51.6317,0.374896,42.0816,-6.39383,-0.390591,-2.21922,0.887804,0.062777,
0.3375,51.5455,0.400846,41.8726,-6.60942,-0.393166,-2.21752,0.889429,0.0613501,
0.33875,51.4522,0.427029,41.6591,-6.81621,-0.395675,-2.21583,0.891039,0.0599709,
0.34,51.352,0.453395,41.4411,-7.01432,-0.39812,-2.21415,0.892633,0.0586391,
0.34125,51.245,0.479904,41.2189,-7.20391,-0.4005,-2.21249,0.894211,0.0573548,
0.3425,51.1312,0.506508,40.9925,-7.38511,-0.402815,-2.21083,0.895773,0.0561176,
0.34375,51.0109,0.533172,40.7621,-7.55807,-0.405067,-2.20918,0.89732,0.0549276,
0.345,50.884,0.559853,40.5277,-7.72294,-0.407254,-2.20755,0.89885,0.0537845,
0.34625,50.7508,0.586517,40.2896,-7.87986,-0.409379,-2.20593,0.900365,0.0526883,
0.3475,50.6113,0.613128,40.0478,-8.02896,-0.41144,-2.20432,0.901864,0.0516387,
0.34875,50.4655,0.639654,39.8025,-8.1704,-0.413439,-2.20272,0.903348,0.0506357,
0.35,50.3137,0.666061,39.5538,-8.30431,-0.415376,-2.20114,0.904815,0.049679,
0.35125,50.156,0.692324,39.3018,-8.43084,-0.41725,-2.19957,0.906267,0.0487686,
0.3525,49.9923,0.71841,39.0465,-8.55011,-0.419064,-2.19801,0.907702,0.047904,
0.35375,49.823,0.744297,38.7883,-8.66228,-0.420816,-2.19647,0.909122,0.0470854,
0.355,49.648,0.769957,38.527,-8.76748,-0.422508,-2.19494,0.910527,0.0463123,
0.35625,49.4674,0.795369,38.2629,-8.86586,-0.42414,-2.19342,0.911915,0.0455848,
0.3575,49.2814,0.820509,37.996,-8.95753,-0.425712,-2.19192,0.913288,0.0449025,
0.35875,49.0902,0.84536,37.7265,-9.04265,-0.427224,-2.19043,0.914644,0.0442653,
0.36,48.8937,0.8699,37.4545,-9.12135,-0.428678,-2.18895,0.915985,0.0436728,
0.36125,48.6921,0.894114,37.18,-9.19376,-0.430073,-2.18749,0.917311,0.0431251,
0.3625,48.4855,0.917983,36.9032,-9.26002,-0.43141,-2.18604,0.91862,0.0426217,
0.36375,48.2741,0.941496,36.6241,-9.32025,-0.432689,-2.18461,0.919914,0.0421626,
0.365,48.0578,0.964636,36.3429,-9.3746,-0.433911,-2.18319,0.921193,0.0417473,
